id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10658068,APARTMENT,GROUND_FLOOR,Bruxelles,Brussels,1000,420000,residential_sale,3,35,usa_hyper_equipped,False,False,0,0,0,0,129,0,2,False,as_new
10679860,APARTMENT,APARTMENT,Pont-à-Celles,Hainaut,6230,199000,residential_sale,2,35,installed,False,False,1,0,0,0,125,0,2,0,as_new
10678910,APARTMENT,DUPLEX,Ixelles,Brussels,1050,480000,residential_sale,2,35,usa_hyper_equipped,1,False,1,7,0,0,90,0,0,False,as_new
10665337,APARTMENT,SERVICE_FLAT,Ixelles,Brussels,1050,420000,residential_sale,2,28,hyper_equipped,False,False,1,23,0,0,92,0,2,False,as_new
10664414,APARTMENT,PENTHOUSE,Bruxelles,Brussels,1000,795000,residential_sale,2,0,hyper_equipped,False,False,1,50,0,0,155,0,0,False,as_new
10648790,APARTMENT,APARTMENT,Leuven,Flemish Brabant,3001,159000,residential_sale,1,0,semi_equipped,0,1,1,2,0,0,55,0,2,0,good
10650483,APARTMENT,APARTMENT,Mechelen,Antwerp,2812,249000,residential_sale,2,0,installed,0,1,1,0,1,0,94,0,2,0,good
10650486,APARTMENT,APARTMENT,Mechelen,Antwerp,2812,275000,residential_sale,3,0,semi_equipped,0,1,1,0,1,0,120,0,2,0,good
10650485,APARTMENT,APARTMENT,Mechelen,Antwerp,2812,295000,residential_sale,3,0,semi_equipped,0,1,1,0,1,0,120,0,2,0,good
10648976,APARTMENT,FLAT_STUDIO,Leuven,Flemish Brabant,3000,319000,residential_sale,1,0,installed,False,False,1,10,0,0,48,0,2,0,as_new
10650246,APARTMENT,APARTMENT,Waregem,West Flanders,8790,320000,residential_sale,2,122,installed,0,1,0,0,0,0,90,0,0,0,good
10649690,APARTMENT,APARTMENT,Ixelles,Brussels,1050,489000,residential_sale,2,30,not_installed,0,1,0,0,0,0,110,0,2,0,as_new
10670427,APARTMENT,APARTMENT,Lede,East Flanders,9340,320405,residential_sale,2,40,hyper_equipped,0,False,1,10,0,0,96,0,2,False,as_new
10670851,APARTMENT,APARTMENT,Brasschaat,Antwerp,2930,395000,residential_sale,3,0,installed,0,1,1,0,1,0,145,0,2,0,as_new
10655084,APARTMENT,APARTMENT,Willebroek,Antwerp,2830,139000,residential_sale,2,0,semi_equipped,0,1,1,0,0,0,70,0,0,0,good
10655083,APARTMENT,APARTMENT,Willebroek,Antwerp,2830,139000,residential_sale,1,0,semi_equipped,0,1,1,0,0,0,67,0,0,0,good
10655082,APARTMENT,APARTMENT,Willebroek,Antwerp,2830,139000,residential_sale,2,0,semi_equipped,0,1,1,0,0,0,70,0,0,0,good
10654930,APARTMENT,APARTMENT,WESTENDE-BAD,West Flanders,8434,315000,residential_sale,2,0,installed,1,1,1,0,0,0,81,0,2,0,good
10653549,APARTMENT,APARTMENT,Uccle,Brussels,1180,345000,residential_sale,2,0,0,False,False,1,24,0,0,99,0,4,False,good
10657261,APARTMENT,APARTMENT,Bertrix,Luxembourg,6880,164000,residential_sale,1,20,installed,False,False,1,28,0,0,87,0,0,False,as_new
9752524,HOUSE,HOUSE,Woluwe-Saint-Pierre,Brussels,1150,925000,residential_sale,5,40,usa_hyper_equipped,False,False,1,60,0,0,230,100,3,False,as_new
10600782,HOUSE,HOUSE,Woluwe-St-Lambert,Brussels,1200,950000,residential_sale,5,50,installed,False,False,1,7,1,0,275,200,2,0,good
10492906,HOUSE,MANSION,Bruxelles,Brussels,1000,990000,residential_sale,10,25,usa_hyper_equipped,1,False,1,24,1,40,300,200,2,0,good
10645675,HOUSE,VILLA,Lede,East Flanders,9340,995000,residential_sale,6,43,installed,0,False,1,0,0,0,350,2384,4,False,as_new
10565759,HOUSE,APARTMENT_BLOCK,Schaerbeek,Brussels,1030,1200000,residential_sale,9,40,usa_installed,False,False,1,32,1,58,485,185,2,False,as_new
10627642,HOUSE,MANSION,Etterbeek,Brussels,1040,1485000,residential_sale,6,80,hyper_equipped,0,False,1,32,0,0,610,245,2,0,good
10555336,HOUSE,EXCEPTIONAL_PROPERTY,Lasne,Walloon Brabant,1380,1765000,residential_sale,8,54,usa_hyper_equipped,False,False,1,60,1,2140,603,2512,4,1,as_new
10633114,HOUSE,HOUSE,Antwerp,Antwerp,2018,1875000,residential_sale,5,0,usa_installed,0,False,1,0,1,105,467,294,2,0,good
10517866,HOUSE,HOUSE,Uccle,Brussels,1180,2100000,residential_sale,4,60,hyper_equipped,False,1,1,60,1,1000,550,1250,4,0,good
9854478,HOUSE,VILLA,Uccle,Brussels,1180,5500000,residential_sale,6,200,usa_installed,False,1,1,0,0,0,1173,5700,0,1,to_be_done_up
10678929,HOUSE,HOUSE,Menen,West Flanders,8930,125000,residential_sale,4,0,usa_installed,False,False,1,0,1,26,192,116,2,False,to_be_done_up
